#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
conotoxin            -          query_5              -            6.5e-17   52.6   2.6   7.2e-17   52.5   2.6   1.0   1   0   0   1   1   1   1 -
conomarphin          -          query_5              -            1.7e-12   38.2   0.0   1.8e-12   38.0   0.0   1.1   1   0   0   1   1   1   1 -
conopeptide_Y        -          query_5              -            7.1e-10   29.6   0.1   8.2e-10   29.4   0.1   1.1   1   0   0   1   1   1   1 -
conotoxin            -          query_6              -            6.5e-17   52.6   2.6   7.2e-17   52.5   2.6   1.0   1   0   0   1   1   1   1 -
conomarphin          -          query_6              -            1.7e-12   38.2   0.0   1.8e-12   38.0   0.0   1.1   1   0   0   1   1   1   1 -
conopeptide_Y        -          query_6              -            7.1e-10   29.6   0.1   8.2e-10   29.4   0.1   1.1   1   0   0   1   1   1   1 -
conotoxin            -          query_10             -            6.5e-11   33.4   1.2   8.9e-11   32.9   1.2   1.2   1   0   0   1   1   1   1 -
con-ikot-ikot        -          query_10             -            2.1e-10   31.6   0.8   2.9e-10   31.2   0.8   1.2   1   0   0   1   1   1   1 -
conotoxin            -          query_24             -              8e-12   36.3   0.4   8.4e-12   36.2   0.4   1.0   1   0   0   1   1   1   1 -
conotoxin            -          query_25             -            8.4e-09   26.6   2.2   9.1e-09   26.5   2.2   1.0   1   0   0   1   1   1   1 -
conotoxin            -          query_26             -            1.3e-11   35.6   0.4   1.4e-11   35.5   0.4   1.1   1   0   0   1   1   1   1 -
#
# Program:         hmmscan
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SCAN
# Query file:      conopep_ident/DB/query.fasta
# Target file:     conopep_ident/DB/family/familys
# Option settings: hmmscan --tblout conopep_ident/DB/familys.csv --noali conopep_ident/DB/family/familys conopep_ident/DB/query.fasta 
# Current dir:     /home/ubuntu/work/gecheng/test/DeepCono
# Date:            Sat Jul 11 17:33:34 2026
# [ok]
